MWCO [Da],Average surface roughness[nm],Zeta potential [mV],Static contact angle [°],MgSO4 rejection [%],NaCl rejection [%],pH,Temperature [°C],Pressure [bar],PWP [LMH/bar],Monovalent cation feed [mmol/L],Divalent cation feed [mmol/L],Monovalent anion feed [mmol/L],Divalent anion feed [mmol/L],Cret total VFAs,row_id,membrane_id,domain_id,feed_type,condition_id,replicate_group_id,is_duplicate_removed
250,11,-20,30,99,50,4.0,20,20,6.2,0.0,0.0,0.0,0.0,1.36,0,250,250,simple,C04,R04,False
250,11,-20,30,99,50,4.0,20,20,6.6,0.0,0.0,0.0,0.0,1.4,1,250,250,simple,C04,R04,False
250,11,-45,30,99,50,5.5,20,20,5.5,0.0,0.0,0.0,0.0,2.4,2,250,250,simple,C05,R05,False
250,11,-45,30,99,50,5.5,20,20,6.3,0.0,0.0,0.0,0.0,2.55,3,250,250,simple,C05,R05,False
250,11,-52,30,99,50,7.0,20,20,6.4,0.0,0.0,0.0,0.0,3.46,4,250,250,simple,C09,R09,False
250,11,-52,30,99,50,7.0,20,20,5.7,0.0,0.0,0.0,0.0,3.16,5,250,250,simple,C09,R09,False
250,11,-52,30,99,50,9.0,20,20,6.4,0.0,0.0,0.0,0.0,3.66,6,250,250,simple,C10,R10,False
250,11,-52,30,99,50,9.0,20,20,5.9,0.0,0.0,0.0,0.0,3.47,7,250,250,simple,C10,R10,False
400,13,5,15,96,20,4.0,20,20,9.0,0.0,0.0,0.0,0.0,1.61,8,400,400,simple,C39,R39,False
400,13,5,15,96,20,4.0,20,20,7.8,0.0,0.0,0.0,0.0,1.44,9,400,400,simple,C39,R39,False
400,13,-12,15,96,20,5.5,20,20,8.0,0.0,0.0,0.0,0.0,2.45,10,400,400,simple,C40,R40,False
400,13,-12,15,96,20,5.5,20,20,7.6,0.0,0.0,0.0,0.0,1.9,11,400,400,simple,C40,R40,False
400,13,-22,15,96,20,7.0,20,20,8.0,0.0,0.0,0.0,0.0,3.41,12,400,400,simple,C44,R44,False
400,13,-22,15,96,20,7.0,20,20,7.2,0.0,0.0,0.0,0.0,3.07,13,400,400,simple,C44,R44,False
400,13,-30,15,96,20,9.0,20,20,9.3,0.0,0.0,0.0,0.0,3.73,14,400,400,simple,C45,R45,False
400,13,-30,15,96,20,9.0,20,20,7.8,0.0,0.0,0.0,0.0,3.22,15,400,400,simple,C45,R45,False
