protocol,model,feature_set,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,n_train,n_test,n_conditions_train,n_conditions_test,n_domains_train,n_domains_test,below_floor
A,dummy,FS1,-0.1284110081719605,0.0,0.8870754063218107,0.0,0.6914491525423729,0.0,59,20,42,19,4,4,False
A,dummy,FS2,-0.1284110081719605,0.0,0.8870754063218107,0.0,0.6914491525423729,0.0,59,20,42,19,4,4,False
A,dummy,FS3,-0.1284110081719605,0.0,0.8870754063218107,0.0,0.6914491525423729,0.0,59,20,42,19,4,4,False
A,dummy,FS5,-0.1284110081719605,0.0,0.8870754063218107,0.0,0.6914491525423729,0.0,59,20,42,19,4,4,False
A,ridge,FS1,0.767777904028345,0.0,0.4024191616719928,0.0,0.2980434824095897,0.0,59,20,42,19,4,4,False
A,ridge,FS2,0.5279420020653687,0.0,0.5737524615504542,0.0,0.44292507696852335,0.0,59,20,42,19,4,4,False
A,ridge,FS3,0.5656075167226396,0.0,0.550386829037326,0.0,0.4500552470127842,0.0,59,20,42,19,4,4,False
A,ridge,FS5,0.5454722565174701,0.0,0.5629982956673348,0.0,0.44309568728574866,0.0,59,20,42,19,4,4,False
A,catboost,FS1,0.8642178340291244,0.0,0.30771470293939224,0.0,0.22665164247702246,0.0,59,20,42,19,4,4,False
A,catboost,FS2,0.7642815727186337,0.0,0.40543725152875426,0.0,0.2919579066122674,0.0,59,20,42,19,4,4,False
A,catboost,FS3,0.771765847128719,0.0,0.3989488320787692,0.0,0.2717024025850901,0.0,59,20,42,19,4,4,False
A,catboost,FS5,0.8665280600254882,0.0,0.3050857114532581,0.0,0.2627513379860066,0.0,59,20,42,19,4,4,False
A,random_forest,FS1,0.7889299905583669,0.0,0.3836543674541809,0.0,0.27304000000000095,0.0,59,20,42,19,4,4,False
A,random_forest,FS2,0.7800731170979406,0.0,0.3916210623095302,0.0,0.27745333333333416,0.0,59,20,42,19,4,4,False
A,random_forest,FS3,0.7672500381708043,0.0,0.4028762731210518,0.0,0.2769202875472841,0.0,59,20,42,19,4,4,False
A,random_forest,FS5,0.832075741932978,0.0,0.34220283313155614,0.0,0.27097649728805784,0.0,59,20,42,19,4,4,False
B,dummy,FS1,-0.06951987559045486,0.09130790700741864,0.7283188895904548,0.09812780936285193,0.5809922033898305,0.0860682753412898,59,20,41,18,4,4,False
B,dummy,FS2,-0.06951987559045486,0.09130790700741864,0.7283188895904548,0.09812780936285193,0.5809922033898305,0.0860682753412898,59,20,41,18,4,4,False
B,dummy,FS3,-0.06951987559045486,0.09130790700741864,0.7283188895904548,0.09812780936285193,0.5809922033898305,0.0860682753412898,59,20,41,18,4,4,False
B,dummy,FS5,-0.06951987559045486,0.09130790700741864,0.7283188895904548,0.09812780936285193,0.5809922033898305,0.0860682753412898,59,20,41,18,4,4,False
B,ridge,FS1,0.7675953447739212,0.08990023222904482,0.33017599175238876,0.0591178574774279,0.2480470495647833,0.04446021262342765,59,20,41,18,4,4,False
B,ridge,FS2,0.5547624500241545,0.1215375285294485,0.4629209081454995,0.0693342406989828,0.35782153195083877,0.05617068105047571,59,20,41,18,4,4,False
B,ridge,FS3,0.4839109725406554,0.17127756649790002,0.4940333652604695,0.06495161196274783,0.4034001646052797,0.05482232749012118,59,20,41,18,4,4,False
B,ridge,FS5,0.507003093782574,0.1468754258271162,0.484869381618512,0.06364605899705723,0.39023865764126425,0.053515745400330356,59,20,41,18,4,4,False
B,catboost,FS1,0.8272861124384221,0.0709140463783626,0.281694380056104,0.044034255092957324,0.21124100274600263,0.0353110113154727,59,20,41,18,4,4,False
B,catboost,FS2,0.7966432590345549,0.07554012620564336,0.30812347206304835,0.0477039921631625,0.23479401574724384,0.038249521688769855,59,20,41,18,4,4,False
B,catboost,FS3,0.7022965504531067,0.11496235094302946,0.3736891179680464,0.06275602435794689,0.27684025723204736,0.04903607667248881,59,20,41,18,4,4,False
B,catboost,FS5,0.7995225343753404,0.0889689430083194,0.3023108486074176,0.04823655509960244,0.24070036969364395,0.038174091883572174,59,20,41,18,4,4,False
B,random_forest,FS1,0.8022505800333988,0.0865371102796748,0.3030594232639579,0.05972460883091717,0.23138311126984099,0.04595669678860776,59,20,41,18,4,4,False
B,random_forest,FS2,0.7926899923501846,0.08651794132891455,0.31064320333042766,0.05793373504645968,0.23670809650793617,0.04481268747076415,59,20,41,18,4,4,False
B,random_forest,FS3,0.699492969835999,0.11531741702673691,0.3754622352782966,0.06187933342785503,0.27898092554678794,0.04745004135405959,59,20,41,18,4,4,False
B,random_forest,FS5,0.8019945164177068,0.0796168442865793,0.3032136045059073,0.05184473815894667,0.24127845563861058,0.038115337790847185,59,20,41,18,4,4,False
C,dummy,FS1,-0.10382514261898054,0.06128358864969281,0.7247884211518336,0.09813680469585119,0.5807701388888888,0.07840071738157611,63,16,37,9,4,4,False
C,dummy,FS2,-0.10382514261898054,0.06128358864969281,0.7247884211518336,0.09813680469585119,0.5807701388888888,0.07840071738157611,63,16,37,9,4,4,False
C,dummy,FS3,-0.10382514261898054,0.06128358864969281,0.7247884211518336,0.09813680469585119,0.5807701388888888,0.07840071738157611,63,16,37,9,4,4,False
C,dummy,FS5,-0.10382514261898054,0.06128358864969281,0.7247884211518336,0.09813680469585119,0.5807701388888888,0.07840071738157611,63,16,37,9,4,4,False
